brand,reviews.rating,reviews.text,reviews.title,reviews.username,wine_type,reviews.dateAdded
Fever-Tree,4.639736663699758,"These were once the best Ginger Beers in the world. Nothing else even came close. I had been buying these by the case for years from Amazon (sometimes as many as 1-3 cases per month)! They were not only the most mouth watering concoction I had ever tasted in my life (and I know my Ginger Beers), but they helped me so much in quelling the nausea I am dealing with from doing chemo, as there was so much fresh Ginger in them (almost medicinal for me). A tonic that I could never let myself run out of. Thanks to Amazon Prime, I never did run out, and all was well for a very long time.Everything changed in October 2013 when I received three cases of this once wonderful Ginger Beer. They looked funny, tasted odd, and even bitter, and all shared an expiration date of 7/14. I know this product rather well and knew that something was really wrong here. Whatever spilled into the batches that expire 7/14, all had something in them that simply did not belong. There was no mistaking that something was wrong here. We even had neighbors taste test with us, and they agreed that something was definitely very odd in the ones that we had just received, which all expired 7/14.One of these neighbors owns a home nearby, and as a bartender, knows the Fever Tree mixers well. He said that it was obvious that the factory thought it was still making Tonic Water and let Quinine or whatever makes up tonic, run into these instead of natural spring water, as always used. That would explain the strange and unrecognizable bitterness. All I knew is that I was now stuck with three cases of stuff that tasted awful.I contacted Fever Tree directly to make them aware of this problem, as well as Brands Of Britain, who is the sole, authorized, distributor here in the United States.Read more",This is such a painful review to write.......... 543 of 622 people found this helpful. Was this review helpful to you Yes No,SephoraPrincess,red,2016-02-07
Fever-Tree,4.639736663699758,"These were once the best Ginger Beers in the world. Nothing else even came close. I had been buying these by the case for years from Amazon (sometimes as many as 1-3 cases per month)! They were not only the most mouth watering concoction I had ever tasted in my life (and I know my Ginger Beers), but they helped me so much in quelling the nausea I am dealing with from doing chemo, as there was so much fresh Ginger in them (almost medicinal for me). A tonic that I could never let myself run out of. Thanks to Amazon Prime, I never did run out, and all was well for a very long time.Everything changed in October 2013 when I received three cases of this once wonderful Ginger Beer. They looked funny, tasted odd, and even bitter, and all shared an expiration date of 7/14. I know this product rather well and knew that something was really wrong here. Whatever spilled into the batches that expire 7/14, all had something in them that simply did not belong. There was no mistaking that something was wrong here. We even had neighbors taste test with us, and they agreed that something was definitely very odd in the ones that we had just received, which all expired 7/14.One of these neighbors owns a home nearby, and as a bartender, knows the Fever Tree mixers well. He said that it was obvious that the factory thought it was still making Tonic Water and let Quinine or whatever makes up tonic, run into these instead of natural spring water, as always used. That would explain the strange and unrecognizable bitterness. All I knew is that I was now stuck with three cases of stuff that tasted awful.I contacted Fever Tree directly to make them aware of this problem, as well as Brands Of Britain, who is the sole, authorized, distributor here in the United States.Read more",This is such a painful review to write.......... 543 of 621 people found this helpful. Was this review helpful to you Yes No,SephoraPrincess,red,2016-02-07
Cobblestone Bread Co.,5.0,"Cobblestone Bread Co. Original English Muffins are wonderful for breakfast sandwiches. Toasted and spread with butter and drizzled with honey or jam, What can I say Not enough for sure. You have to try them. Maybe for lunch with chicken salad Or a BLT when tomatoes are ripe and juicy. Any way, they are the BEST!",The BEST English Muffins,Suzie,red,2017-09-02
Cobblestone Bread Co.,4.0,I like these better than Thomas English Muffins. The texture and pre-slitting is better.,I like it,JLD58,red,2017-09-02
Cobblestone Bread Co.,3.0,"Cobblestone English Muffins, Wheat, 6ct. Are they 'spose to be SO Doughy Hard to slice 'cuz the doughy inside balls-up. Taste very good, (only after toasting till the edges burn)",should it be,mojkewety,red,2017-09-02
Cobblestone Bread Co.,5.0,These English Muffins are very good and they are half the price of others.,Great Price and as good as the big name brand,thanks49,red,2017-09-02
Cobblestone Bread Co.,5.0,"I love the Cobblestone Original English Muffins. Being from New England, these are the type of English Muffins I am used to. I don't like those other ones with the nooks and crannies. In New England, you can find this type in every grocery store, not necessarily the Cobblestone brand. It's hard to find this type in the south. Seems like they only sell Thomas's which are gross. Sometimes I can find these at Food Lion but my Walmart doesn't even have a spot on the shelf.",These are REAL English Muffins,Barbloki,red,2017-09-02
Cobblestone Bread Co.,5.0,This product is as good as if not better. Stays fresher longer and their other products are very good as well.,Watch out Thomas's,Cuzvin,red,2017-09-02
Cobblestone Bread Co.,5.0,"Bought these just to try them out.... they were great... flavorful, crispy when lightly toasted.. we will definitely buy them again.",These are excellent English Muffins,tpguess,red,2017-09-02
Cobblestone Bread Co.,5.0,first time trying these... really good,great enhlish muffins,Nita,red,2017-09-02
Cobblestone Bread Co.,4.0,Great much better than the name brand,English muffins,Sissy,red,2017-09-02
Cobblestone Bread Co.,5.0,Doesn't have nooks and crannies but for the price I really enjoy them.,Great,3824Peajay,red,2017-09-02
Cobblestone Bread Co.,2.0,Not soft like Orowheat!!,Hard,Heckylnjyde,red,2017-09-02
Woodbridge,4.0,Dry enough but not overpowering.,Great everyday wine,edward7th,red,2017-09-20
Woodbridge,4.0,This Chardonnay pairs great with all types of meals and also seems to appease all wine drinkers. Good choice for large gatherings. Great value and guests are happy with the quality.,Great Every Day Wine,TrucMonster,white,2017-09-02
Mr. & Mrs. T,5.0,"This is my favorite brand and size...........I drink it instead of V-8 for breakfast, along with an occasional true Bloody Mary when I am entertaining friends. My only complaint is the delivery packaging of a pack of 6 - the box was delivered upside down and was ripped - the contents, thankfully, were not damaged. It would help if the outer box was labeled THIS SIDE UP !!",Great product - needs safer packaging,Mitch,red,2017-09-23
Mr. & Mrs. T,5.0,I love this product and drink usually an 8 oz bottle daily with nothing in it but the mix. It is like Snappy Tom but I like it better. The last time I ordered a case of it and it is almost gone already. If you like a spicy tomato drink I highly recommend it.,Bloody Marry Mx,1112221924bg,red,2017-09-23
Mr. & Mrs. T,5.0,"I love this and drink it without alcohol every day. But, it is practically non existent in the stores. You can find Bold Spicy but not this. And why does this cost almost 2.00 more per bottle then the Bold Spicy",It's delicious,KLBram,red,2017-09-23
Cocktail Artist,5.0,"Hi, this is Cocktail Artist Robert Porter. First, I'd like to thank you for taking the time to review my Cocktail Artist Premium Manhattan Mix. I am totally humbled and very passionate about bringing you this remarkable product. What I've done is take out the guess work for making an exceptional Manhattan at home. Just use 2 parts whiskey and 1 part CA Manhattan Mix, stir with ice and enjoy...yes it's that easy! By being able to create a unique product that is made with all natural ingredients and pure cane sugar you get a smooth, well balanced cocktail that doesn't have any artificial flavors or aftertaste. Try my Manhattan Mix with other Cocktail Artist essential bar ingredients, to easily create a variety of amazing drinks. Use it with our Cocktail Artist lemon juice to make the perfect Whiskey Sour or with our CA Mint Syrup for an amazing Mint Julip. If your not a big fan Whiskey, you can use this with other spirits. Mix tequila with CA Manhattan mix and our premium lime juice for a fine Margarita. Or make a Dark and Stormy using lite rum, CA Manhattan Mix, CA Mule Mix and top with club soda. Another favorite of mine is the Nigroni with Gin, CA Manhattan Mix, Campari and an orange twist. I urge you guys to exparament and see what you can create. Make the glass your canvas, mix it like you mean it. Robert.",It's that easy!!!,AzCocktailArtist,red,2017-08-15
Cocktail Artist,5.0,"OMG....Love, Love the best cocktail mix ever!!!! A must try for everyone, Don't miss out!",Awesomeness,Awesomeness,red,2017-08-15
Cocktail Artist,5.0,"Although I don't feel it's necessary to describe how angels came down from heaven to squeeze tiny droplets of Nirvana into a bottle to be sold across the country in retailers under this brand and recipe... I feel I will be expressing this to everyone I meet until the bitter end of my life. This mix... this powerful concoction of pure ecstasy ... is unbelievably awesome and will likely turn me into a raging alcoholic passed out in a gutter occasionally coming to the surface to scream I need more as monkeys and degenerate courtesans frolic in my bodily fluids streaming from both ends. It's that freaking good folks... buy it... buy cases of it... snort it, drink it, shoot it, whatever you do ... just try it! Once you do you'll be on here leaving another depraved review... hopefully three times more twisted than mine! God Speed. God Speed.",Demeter couldn't make a better mix!,An anonymous customer,red,2017-08-15
Cocktail Artist,5.0,"After finding out that I was hosting an impromptu b-day party for a friend I scrambled knowing that my beverage knowledge was very basic, limited to essentially beer, wine and liquor/soda. Further, I knew that I would soon host several liquor pros, including those that would size-up my novice bartending abilities. Enter the Cocktail Artist Essential Bar Ingredients Premium Manhattan Mix. Making my pre-shindig trip to Walmart, I circled the aisles looking for something that could help me out. I came across a bottle of this liquid magic which allowed me to craft top-notch Manhattans. To this day, I still am asked by party patrons what was my secret recipe, go figure! If you need instant bartender credibility for your next soire, look no further than this life-saver.",A New Spin On An Old Classic,SeanDon,red,2017-08-15
Cocktail Artist,5.0,Bought this on a whim last minute for a dinner party and was very pleasantly surprised . ...tried it with both bourbon (bulleit) and rye (rittenhouse) and both came out great. It has a nice citrusyness that brings all the flavors together quite nicely and it wasn't too sweet or syrupy or artificial tasting at all. Loved this product and will definitely be making it a staple in my home bar...can't wait to sample the other products in their line as well,Pleasantly surprised,Beka,red,2017-08-15
Cocktail Artist,5.0,The BEST easiest manhatten EVER! Was such a great mix to have for our diy cocktail party! Now it's always in our bar at home! Sometimes you just need a fancy drink,LOVE LOVE LOVE!,Lush,red,2017-08-15
Cocktail Artist,5.0,"Best cocktail product ever! My husband is a 33yr career bartender this changed his game, it is now the staple of his bar. It's so smooth light, makes it impossible to have just 1:-)",Total game changer!,Twinfest,red,2017-08-15
Cocktail Artist,5.0,"I'm very impressed with the fact that this Mannhattan Mix represented by Robert Porter, has natural ingredients, and is not laden with fake chemicals. I prefer my drinks to taste real, fresh and balanced, and this mix is a lovely complement to my whiskey of choice. I highly recommend this mix!","Natural ingredients, great flavor!!!",ms33,red,2017-08-15
Cocktail Artist,5.0,"This is amazing!! I was shocked by how smooth, and tasty it was!! Usually I do not buy cocktail mixes but a friend recommended this one to me, and I am so glad she did. I love it! It will defiantly be a staple in my home and parties!!",Delicious!!,Kelly,red,2017-08-15
Cocktail Artist,5.0,"I have to say I never thought of buying a mix like this, but it is so tasty and delicious! All you have to do is add your favorite whiskey and some Robert Porter over ice. Super easy manhattan and very smooth, and tastes amazing! Highly recommended.",Best Manhattan mix!,TannerJ,red,2017-08-15
Cocktail Artist,5.0,I wasn't too sure about this at first because it was so inexpensive...but thought I'd give it a shot. It far exceeded all expectations!!! So delicious and smooth!!! Super impressed! Plus it doesn't hurt that the guy on the bottle is cute...just sayin,AMAZING!!!,Kirkir,red,2017-08-15
Cocktail Artist,5.0,This is a superb drink for those days you don't feel like getting dressed for that upscale bar downtown. Invite a friend and share this cocktail at home. This is an elegant drink for those with a sophisticated palate. This cocktail will now be a staple in my home bar.,Take home and taste some class in a glass.,nursegnet,red,2017-08-15
Cocktail Artist,5.0,"Not personally into pre made mixes, but bought this for entertaining friends the other night. Was extremely impressed! So smooth and balanced! Everyone LOVED their manhattans! All you have to do is add your whiskey or bourbon of choice. There are no artificial flavors or high fructose corn syrups in the mix either. Just pure cane sugar. Honestly probably safer than using the liqueurs on the market! As a bartender myself I'm telling you to get this product!!",Do yourself a favor and purchase,Jaclyn,red,2017-08-15
Cocktail Artist,5.0,I used this Manhattan Mixer at our weekend pool party and it was an absolute hit!!! Cocktails were delicious and simple to make. It was one of the conversational pieces of the party!!!,Amazing Manhattan Mixer!!!,WeekendWarriorBartender,red,2017-08-15
Cocktail Artist,5.0,"This is great stuff! I wasn't sure what to expect before trying it, because it's the first time I've tried Manhattan Mix. It is so easy to make and even easier to drink. Delicious, smooth, wonderful on the palette. Next time I'm in I'm going to buy 6 of them, and also get some for my friends. Great stuff, please keep this in stock!",Old-school delicious cocktail made simple!,Judy,red,2017-08-15
Cocktail Artist,4.0,"Love this... great product!! Prefect for parties... graduation, summer bbq's...",Great Mixer,PattiR,red,2017-08-15
Cocktail Artist,5.0,It's a full bodied and delicious!! I use it at get together or just when I'm needing that Manhattan at home after work!,THE BOMB.COM!!,Fopopps,red,2017-08-15
Cocktail Artist,5.0,"I am a fan of the Manhattan, although rarely do I buy a mix. However I decided to give this a try, the price couldn't be beat. Smooth taste, authentic to a true Manhattan. Just follow the directions on the bottle, simple as that. It's a great tasting mixer, in a good size bottle at a good price.",Love this mix!,MoodyMans,red,2017-08-15
Cocktail Artist,5.0,"This was the best buy the Manhattan was perfect , tasty, and smooth. I was at a party and first tried the drink and went out and purchased for my party coming up. I had to share I think people will love love it!!",PERFECT DRINK,CjSwinn,red,2017-08-15
Cocktail Artist,5.0,Great tasting fool proof mix served in a very stylish bottle!!!,So Good,Stephanie,red,2017-08-15
Cocktail Artist,5.0,"This is so delicious! You can actually make a perfect tasting, smooth Manhattan like a pro. Great product!",Perfect Manhattan!!!,AngBoG,red,2017-08-15
Cocktail Artist,5.0,"Had this for a party last night it was a hit! Fantastic mix, whoever put this together knows their stuff! Highly recommended",Great mix!,Axxrod9,red,2017-08-15
Cocktail Artist,5.0,What an amazing product!! Absolutely love it!!,Premium Manhattan Mix,PeteK,red,2017-08-15
Cocktail Artist,5.0,This product is so simple and easy to use !! I've tried different manhatan mixes before and this one is by far my favorite! It meshes very well w any burbon and the flavors don't overpower and try to mask the burbon like other products !!! It's an essential to my mini bar at home !!AMAZING PRODUCT!!,Awesomeness In A Bottle!!,Saby103,red,2017-08-15
Cocktail Artist,2.0,"I have a manhattan almost everyday after work. My wife bought me this to try and although it is decent, it is not necessary. Spend your money on quality vermouth and of course the best bourbon one can afford.",Not necessary,Jake,red,2017-08-15
Cocktail Artist,5.0,I've already went through 5 bottles of this stuff! Great tasting and smooth... and so easy to make my favorite drink.. a manhattan! Definitely recommend this as a premium mixer.,Great!!!,Cali,red,2017-08-15
Cocktail Artist,5.0,A must for every home bar!! How easy can it get.,A must for every home bar!,NAWI,red,2017-08-15
Cocktail Artist,5.0,amazing product. It make making a cocktail easy and tastes great.,Amazing,OmmFooFoo,red,2017-08-15
Cocktail Artist,5.0,"So good! It really makes having a craft cocktail at home really easy. It is so hard to find natural products these days, especially mixers. I really love this one. The taste is excellent! I'm going to try some of the other mixers now too. This one is definitely my new favorite mixer!",Really good!!! Definitely try it.,Margo,red,2017-08-15
Cocktail Artist,5.0,I love this mix!! It's easy and taste delicious!!!!,So good,Bean,red,2017-08-15
Cocktail Artist,5.0,"After tasting the smooth flavor of this mix, I discovered a more natural way to enjoy a manhattan!!",Simply the best mix,4dalord,red,2017-08-15
Cocktail Artist,5.0,This mix was the star of the party. We could not make it fast enough for the guest to drink,Best mix,Jose,red,2017-08-15
Cocktail Artist,5.0,"Although this is a Manhattan mix, I love to add it to many of my cocktails! The flavors are so complex, they elevate the flavor profile of my concoctions!",Awesome in a bottle,Jorge,red,2017-08-15
Jose Cuervo,4.0,It was a little tart but I like that.,Good mix,Roni,red,2017-09-06
Jose Cuervo,5.0,What a great mix. Makes an excellent Margarita. Just add tequila.,Margarita Mix,usvistx,red,2017-09-06
Jose Cuervo,1.0,Very small amount for the price. Won't make this mistake again!,Bottle is small. Not a good value!,FredB,red,2017-09-06
Jose Cuervo,5.0,This is the Bomb!,The best margarita mix!,Belcherita,red,2017-09-06
Pain Is Good,4.0,Sweet then hits you like fire!,So hot! Love it!,Faith143,red,2017-09-02
Pain Is Good,4.0,Good spice and a cool label on the bottle!,Great bold flavor!,Wally,red,2017-09-02
Pain Is Good,3.0,"Very poor packaging, wrapping and shipping. Two of three bottles were broke on arrival .","Great product , , two of three broke",DPM1,red,2017-09-02
Bud Liight Lime,5.0,"If you love grape juice with a twist, this is a must try!!",AWESOME,softballshn,red,2017-09-20
Pinnacle,5.0,"Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.",Love this product!,Jimmy Boy,red,2017-09-20
Jim Beam Black,5.0,"I'm a single malt Scotch guy. I generally have two fingers neat with a quality cigar about once a week. On a stressful day, I'll have a couple of beers or so after work before the family gets home. The trouble is the beer gut that comes with that trend. I was looking for something similar to my favorite Scotch, which is a little out of my budget to drink daily. Jim Beam Black is an awesome substitute with the rich white oak aroma and flavor. It isn't near as smooth as my favorite Scotch, but the flavor is on point. Thank you Jim Beam for putting this great whiskey out there at an affordable price. You've got a customer for life!",Magnificent oak flavor!,Scotchman,red,2017-09-20
Jim Beam Black,5.0,Exceptionally good flavor!,My favorite bourbon!,Mato Davis,red,2017-09-20
Jim Beam Black,5.0,No matter where I go after years of various bourbon tastings....Jim Beam Black is head and shoulders above the rest no matter what the price tag!,Top Choice Every Time!,Buckpasser,red,2017-09-20
Jim Beam Black,5.0,I'm personally a wild turkey drinker. But cudos to Jim beam for producing such a classy commercial. Got the right girl to be their spokesperson. Good job. Very classy.,Good Job,Coinrat,red,2017-09-20
Jim Beam Black,5.0,Seriously You ask what's great about it What isn't great about it,"When you want to experience perfection, look no further!",Bull Elk,red,2017-09-20
Jim Beam Black,5.0,No explanation necessary.,What bourbon should be.,Hugh,red,2017-09-20
Jim Beam Black,5.0,I first started drinking Jim Bean when i went camping. I didnt want to carry the bear around so i tried jim bean. My first was Red Stag Cherry. Than i tried devils cut when i came home. I have been hooked ever since. I usually mix with coke or dr.pepper.,I love Jim Bean,Burnsy,red,2017-09-20
Jim Beam Black,5.0,This is the best bourbon under 50 you can buy. One of the smoothest bourbons I've tasted. I typically drink Woodford Reserve or Eagle Rare until I tried this. I buy a bottle every two weeks now.,Best bourbon under 50,Bloom,red,2017-09-20
Jim Beam Black,5.0,This is Beam at it's best very smooth.,I would definitely buy this quality bourbon again,J.Bass,red,2017-09-20
Jim Beam Black,5.0,I tried JB Black for the first time tonight. It is so smooth. We made whiskey sours with it and they were awesome. Thanks Jim Beam for this awesome bourbon!!!,Just the best!!,Mech51,red,2017-09-20
Jim Beam Black,5.0,"I have been enjoying JB Black for the past three years. The has all the flavor os a higher proof, bur 86, I can have another without collapsing. Now it has disappeared from even the most extensive liquor stores in my area. What happened The double oaked is OK, but no match for the black. Where can I find it in Sonoma County, California","Love it, cannot find it anywhere",webby,red,2017-09-20
Jim Beam Black,5.0,"I bought this in early December and it didn't make it to the new year... This one is Awesome, keep up the great work!",Jim Beam at it's best!,Trainguy1,red,2017-09-20
Jim Beam Black,5.0,"Absolutely love, love, love it!!",Rich Aromatic,Lorilee,red,2017-09-20
Jack Daniel's,5.0,"I really like how compact and easy to use this pressure washer is, would buy it again in an instant after using it.",Fabulous purchase,BBSC,red,2017-09-20
Jack Daniel's,3.0,"First off its not as powerful as the gas model I had but its not as bad as the other reviews describe. My gas model would peel paint. This one is not that strong. If you need something to wash and clean, it works fine on concrete and dirt. If you need to peel paint, get a gas one.",Not bad,johnw12,red,2017-09-20
Jack Daniel's,5.0,I was lucky to purchase this power washer on sale for 99.99 . My patio and porch look like new. My drive way and sidewalks look new as well. I decided to power wash my house too. All with just water. Everything done in about 6 hours. Easy to use. Great investment great review. Barbecue pits are next.,Awesome,Mike57,red,2017-09-20
Jack Daniel's,2.0,I used this a lot to clean my wheel wells on my truck of road pack and the underside of my riding mower. I was disappointed to see that after only 2 years of use my pump developed a leak which would cost more to fix than than buying a new unit. I am retired and can't afford to buy one every 2 years but it looks like I will.,Only lasted 2 years,bandman1967,red,2017-09-20
Jack Daniel's,2.0,"If you're going to take the time a pressure wash your driveway or your house, this is not worth the time or effort. The nozzle is so small and the actual dirt that comes off is the same amount from a normal hose.",Not worth it.,Not worth it,red,2017-09-20
Jack Daniel's,5.0,"I also got this during Sam's Spring sale. Having messed with my father's 10 year old Electric pressure washer, I didn't have high hopes. I was looking for something inexpensive that would clean my driveway, grill and fence every so often. Yes, gas models are more powerful, but they're more expensive and you need to maintain them. First off - the build quality. Seems rugged. Metal couplings for hoses (vs plastic for my dad's old one). How well it does: Concrete was cleaned! The big circle washer does an OK job, but the turbo washer really gets it done (see photo). The big circle washer would be good for maintaining, not for a deep clean. Also had no issues cleaning my grill from 2 years of grease. Overall with a 2 year warranty I'm pretty happy with this!",Works great for household usage!,caverunner17,red,2017-09-20
Jack Daniel's,5.0,"Bought, assembled, and used it to clean concrete with mold, mildew, and moss on it. Worked great.",Power Washer,mjksepka,red,2017-09-20
Jack Daniel's,4.0,"I got this to do a power washing job, and I love it. It's small yet powerful comes with a variety of different accessories that you would end up paying more money for.",The right pressure for most jobs,Marshall,red,2017-09-20
Jack Daniel's,5.0,"Sam's Club is 99 percent pleasing with its all of its sales products. Everything from electrical, electronic, groceries, furniture, building products, recreational and mechanical etc... My black max pressure washer gets five stars and the sales price was the best! I recommended that my youngest son purchase one and he loves it too. Thanks, Sams Club",enough power for my light duty needs!!!!,brian,red,2017-09-20
Jack Daniel's,5.0,"Great electric pressure washer, the scrubber worked great on my patio.",Great Value,Remy,red,2017-09-20
Jack Daniel's,5.0,"I purchased an electric model just to avoid another gas engine. This model works good cleaning our patio aggregate steps, walk driveway. It's light weight, easy to store priced accordingly.",Works Great,Shuets,red,2017-09-20
Jack Daniel's,5.0,I'm a woman who doesn't like to wait for her husband to help her do something. I can operate this by myself. I was surprised at how nicely it cleaned our composite decking. Our 40 year oldcement steps had green moss and black stains and I was able to clean they also. I used Scott's outdoor soap and can easily attach different nozzles and attachments. I hated our our gas power washer and we had much trouble with it. I hope this one lasts as it is a good value.,Absolutely love it!,Nancy,red,2017-09-20
Jack Daniel's,3.0,I bought this article on sale and was a good deal it doesn't has a lot of power but works.,Good price,Mouzawak,red,2017-09-20
Jack Daniel's,5.0,I did purchase this pressure washer about a month ago and just used it. I am very happy with it. I got a lot of bang for my buck. I really like it.,Excellent deal,Lewis,red,2017-09-20
Jack Daniel's,5.0,For its size works good. Have two gas ones but can't use inside due to fumes. This electric one does the job.,Like the extras that came with it.,Sawdust maker,red,2017-09-20
Jack Daniel's,5.0,Great price works great,Works great,David,red,2017-09-20
Jack Daniel's,4.0,Does what I need it to do. Great attachments. Not as powerful as gas powered but knew that before purchase.,Easy to use,Fgun,red,2017-09-20
Jack Daniel's,4.0,Nice machine . It's slower than a gas machine but it gets the job done.,Nice machine,Kathy,red,2017-09-20
Jack Daniel's,5.0,"I have used the Black Max Pressure washer countless times since it arrived. I was able to clean green moss type mold from between the clay bricks in my courtyard that has been there for years. This piece of equipment is very easy to handle, even for a small person such as myself. I LOVE MY PRESSURE WASHER!!!!",Great for every job around the house!,Gale13,red,2017-09-20
Jack Daniel's,5.0,"Had a gas pressure washer. Worked well for a couple of years, with some minor repairs, then finally went kaput. Only need it for light cleaning. This one started without problem, and did the job it was intended for. AND it was reasonably priced.",Black Max Electric Pressure Washer,Jmail3783,red,2017-09-20
Jack Daniel's,1.0,Bought last year and used once. Not strong enough to do much more than wash your car. Sprayer is plastic and not rugged. Sprayer ailed on me this year. Internal components rusted even though the washer was drained. Threaded connection to the sprayer is plastic. Cheaply made. Now junkyard.,Save your money,dwilks,red,2017-09-20
Schweppes,4.0,"Schweppes makes a good Diet Tonic. I prefer Canada Dry only because it seems to hold the fizz longer. I don't drink generic, I have not found any of the off-brands that taste good compared to Schweppes and Canada Dry. Please don't stop carrying or even add Canada Dry. The only other thing I suggest is to stock more on the shelves as most of the time there is maybe one or two on the shelf. Sartell Walmart",Diet Tonic Water,Sassy,red,2017-08-15
Schweppes,5.0,"If you drink tonic water, this one is the best tasting and it is great that Walmart now has it available and will ship it to your home. I hope they continue this!",Best tasting tonic water,JOan,red,2017-08-15
Schweppes,1.0,"the product advertise said 15pk, I have no idea what that means but I assumed it was going to be 15 pack - it turned out to be one bottle for 2.50 - less expensive to buy at the store! It does not make any sense.",very expensive for one bottle,lovetoshop,red,2017-08-15
Schweppes,5.0,Great taste,Best brand ever,shindy,red,2017-08-15
Schweppes,5.0,"I have been trying to cut back on sugar and found this has the best taste , I compared Canada Dry,Polar,Walmart . But I can't find in smaller bottle or cans.",Best of the Diet Tonic,Greg,red,2017-08-15
Schweppes,5.0,Great product and will purchase again.,Diet tonic Water,BluegrassLover,red,2017-08-15
Schweppes,5.0,Schweppes Tonic is the best there is because it doesn't lose it's fizz and always has a great refreshing taste.,Best There Is,gmpcrfl,red,2017-08-15
Schweppes,3.0,"It was just ok, I will buy it only if you guys run out of your Great Value Diet Tonic Water. (Because I have to have the diet) Schweppes just doesn't have the flavor nor does it it hold its carbonation like the Great Value Brand does.",Schweppes Diet Tonic water,Tweety,red,2017-08-15
Schweppes,4.125,Schweppes Tonic is the best there is because it doesn't lose it's fizz and always has a great refreshing taste.,Best There Is,gmpcrfl,red,2017-01-16
Schweppes,4.125,"the product advertise said 15pk, I have no idea what that means but I assumed it was going to be 15 pack - it turned out to be one bottle for $2.50 - less expensive to buy at the store! It does not make any sense.",very expensive for one bottle,lovetoshop,red,2017-01-16
Schweppes,4.125,"It was just ok, I will buy it only if you guys run out of your Great Value Diet Tonic Water. (Because I have to have the diet) Schweppes just doesn't have the flavor nor does it it hold its carbonation like the Great Value Brand does.",Schweppes Diet Tonic water,Tweety,red,2017-01-16
Schweppes,4.125,Great product and will purchase again.,Diet tonic Water,BluegrassLover,red,2017-01-16
Schweppes,4.125,"If you drink tonic water, this one is the best tasting and it is great that Walmart now has it available and will ship it to your home. I hope they continue this!",Best tasting tonic water,JOan,red,2017-01-16
Schweppes,4.125,"Schweppes makes a good Diet Tonic. I prefer Canada Dry only because it seems to hold the fizz longer. I don't drink generic, I have not found any of the off-brands that taste good compared to Schweppes and Canada Dry. Please don't stop carrying or even add Canada Dry. The only other thing I suggest is to stock more on the shelves as most of the time there is maybe one or two on the shelf. Sartell Walmart",Diet Tonic Water,Sassy,red,2017-01-16
Schweppes,4.125,"I have been trying to cut back on sugar and found this has the best taste , I compared Canada Dry,Polar,Walmart . But I can't find in smaller bottle or cans.",Best of the Diet Tonic,Greg,red,2017-01-16
APOTHIC,5.0,"This is a rich and delicious red wineblend that many will enjoy, its full of dark fruit flavors and zinfindel. The best red blend that i have ever had.",Rich and delicious,Roni,red,2017-09-20
Jim Beam,5.0,It's delish! The only suggestion I have is to sell a bigger bottle with a handle.,The best,Jared,red,2017-09-20
Jim Beam,5.0,I love everything about Jim Beam Apple... The taste is great and it goes down smooth! It's one of the best drinks out there with or without any added mixes....,I recommend this drink to everyone over the age of 21,Baltimore,red,2017-09-20
Jim Beam,5.0,"I was hesitant to buy Jim Beam Apple, after trying other apple whiskeys, but I was not disappointed! It's so smooth, light and fruity. Very good!",Fantastic,Hannah,red,2017-09-20
Jim Beam,3.0,"Very smooth, but very sweet. I would like to know how much sugar is added...",Sweet and smooth.,Ryan,red,2017-09-20
Jim Beam,5.0,"I mix the Jim Beam apple with a little ginger ale, it is a great summer refreshment.",Surprising and refreshing,Tater,red,2017-09-20
Jim Beam,5.0,It makes the greatest apple bourbon martini,I will buy this product again,Kali,red,2017-09-20
Jim Beam,5.0,Outstanding. Smooth. Easy to drink,I would buy this again,Boss66,red,2017-09-20
Jim Beam,5.0,The apple Jim Beam is the bomb it's smooth no chaser needed I am hooked.,I love the Apple,Moonlight,red,2017-09-20
Jim Beam,5.0,This is a great tasting refreshing drink,I love the flavor and quenches my thirst,Lady Bartender,red,2017-09-20
Jose Cuervo,5.0,if you are trying to save calories and still have a tasty margarita this mix is great. use a few drops of essential lime oil to give a more natural taste though...,Great margaritas,konakona,red,2017-09-06
Jose Cuervo,5.0,"My wife loves margaritas. And, I have always struggled with How to make the perfect Margarita. But, along comes Jose Cuervo Classic Lime Light Margarita Mix and l feel like a pro. With zero calories zero carbs and zero sugars, the only calories (sugars) are from the alcohol. This mix is the best. Here's my formula: - 2 parts mix - 1 part tequila (I love Logado from Total Wine) - 3 to 4 teaspoons of artificial sweetner - a big splash of Gran Gala Liquer (the drink should become a light amber color) - 1/2 fresh lime juice Mix well and add crushed ice. Voila!",Skinny Margarita,SpeedyGonzales,red,2017-09-06
Jose Cuervo,5.0,Taste great. But never enough in stock at the stores,Jose Cuervo Classic Lime Light Margarita Mix,jenny,red,2017-09-06
Jose Cuervo,5.0,I have been buying this for years. Tastes like homemade without calories. Not as sweet as other mixes,As good as homemade w/o calories,Valhalla,red,2017-09-06
Jose Cuervo,5.0,Love the taste. Very good.,Great product,BusyLady,red,2017-09-06
Jose Cuervo,5.0,Good refreshing drink and taste great with taco dip! A true summer treat!,Great sippin by the pool!,Happyconsumer,red,2017-09-06
Jose Cuervo,5.0,Tastes great!,Excellent!,Skulls2,red,2017-09-06
